timeStamp,alpha,beta,gamma
1420650559225,341.541312779606,2.4252492214805508,-3.9490402974478958,standing
1420650559279,341.541312779606,2.4252492214805508,-3.9490402974478958,standing
1420650559327,341.541312779606,2.4252492214805508,-3.9490402974478958,standing
1420650559378,341.541312779606,2.4252492214805508,-3.9490402974478958,standing
1420650559429,341.541312779606,2.4252492214805508,-3.9490402974478958,standing
1420650559481,2.4250468019566718,56.99060800262182,-4.2659531484467035,standing
1420650559530,4.774439971234838,58.914847081753976,-7.315762629667759,standing
1420650559581,7.295025077628475,59.8258471359333,-11.087761551748093,standing
1420650559632,10.042024539674713,60.588601299393574,-13.320381293001637,standing
1420650559682,13.791084479792733,61.04126394528438,-16.22948282661003,standing
1420650559731,17.702546618388407,61.17724752169304,-19.14584879928322,standing
1420650559780,20.272350203975364,61.123056125540906,-19.97669516334659,standing
1420650559828,22.349787348597935,61.31578771263691,-19.826114054566705,standing
1420650559875,22.349787348597935,61.31578771263691,-19.826114054566705,standing
1420650559925,22.818362533925974,61.502790910798275,-18.33724171420138,standing
1420650559980,21.83706890000165,61.07797997322157,-15.738138549686619,standing
1420650560026,23.122299965778,60.1711177584849,-15.392378839551943,standing
1420650560075,25.729577689826602,60.25024425891193,-14.944822221943248,standing
1420650560125,28.120804242175083,59.89568525195614,-13.253246958725033,standing
1420650560179,29.508980311206503,60.342819304865635,-6.802037044371278,standing
1420650560229,30.469780391197084,61.9641773351457,0.523986457727352,standing
1420650560279,31.89072755973254,65.1881023499458,9.77465341059711,standing
1420650560329,36.46925470448875,64.7628709690643,8.298899096401977,standing
1420650560378,36.46925470448875,64.7628709690643,8.298899096401977,running
1420650560429,41.727692317279754,62.01417603288663,6.458735308755378,running
1420650560479,41.727692317279754,62.01417603288663,6.458735308755378,running
1420650560529,41.73864292796812,61.84948739024415,10.525544615527057,running
1420650560579,42.001537496243245,57.17293707089728,15.240525463530483,running
1420650560629,45.11463993279687,52.270273134301625,13.52723454159911,running
1420650560680,44.51855758256087,48.89894542873293,15.980014393355397,running
1420650560730,49.86590034860542,50.867390848528046,7.665049408328272,running
1420650560777,56.496177275740436,54.50358135365829,-0.7534243390713535,running
1420650560830,59.40018274783666,55.08417498760933,1.40532665417886,running
1420650560881,62.22388195278255,57.44015648376474,-0.013802621177839081,running
1420650560931,62.911967273803924,60.850435961932206,0.1211845524646052,running
1420650560976,72.85457194784135,66.07785874460352,-8.949778688131769,running
1420650561026,72.85457194784135,66.07785874460352,-8.949778688131769,running
1420650561077,81.61595541394813,70.32146492208302,-17.952764873240582,running
1420650561130,86.84276660030244,74.59465034816856,-22.622462482974825,running
1420650561175,85.27183346855192,78.72655129518921,-20.791261028109698,running
1420650561229,87.46928586518212,81.50284254350566,-22.14036245692334,running
1420650561280,79.1626515260883,83.6842217793641,-13.465811557184686,running
1420650561330,73.77144015011872,78.29706866383154,-5.626017759881615,running
1420650561380,71.49432191375429,75.46053979255079,-0.6672279219818325,running
1420650561430,68.66951258548015,74.15434799536746,2.991926404703493,running
1420650561480,65.90754059286388,72.15241508473379,6.9907309867255725,running
1420650561530,65.2316283516272,70.45542811457454,8.69454555949952,running
1420650561580,67.85058336384995,67.76471702620526,7.671998777150725,running
1420650561628,67.85058336384995,67.76471702620526,7.671998777150725,running
1420650561680,69.64210010297901,64.59612746139817,5.375658607146245,running
1420650561731,69.00819015683952,64.58286626726262,6.523118681704809,running
1420650561776,71.56778143072644,64.4210864480777,3.605019295159862,running
1420650561830,71.92147721531447,64.09649421138054,1.5513250296468721,running
1420650561877,69.08281784831506,62.59826838371864,3.0440886420250037,running
1420650561931,65.72022859625446,61.843985826377455,6.084288611214279,running
1420650561978,72.53601150516059,62.55683177067856,-3.1986144075060423,running
1420650562031,79.3336166324415,62.11659423054626,-11.475570017780107,running
1420650562080,79.3336166324415,62.11659423054626,-11.475570017780107,running
1420650562132,81.309232534784,62.49901092181307,-15.481012005579466,running
1420650562181,85.40893716414769,63.539527400555706,-21.26656564330733,running
1420650562231,86.10102479625459,63.838613117746675,-22.43445869691725,running
1420650562280,86.37602893507312,63.84965800138929,-22.98810552879874,running
1420650562326,86.63208314610765,63.83646200161391,-23.00863471449408,running
1420650562379,86.86418822856699,63.76683217571868,-22.926055693905155,running
1420650562427,87.09086027406275,63.58072031837978,-22.638532173805945,running
1420650562480,87.24165787001024,63.2954051859032,-22.164412053699685,running
1420650562530,95.8735902784627,70.67355535609616,-30.64823000687629,running
1420650562576,98.01495838380296,70.99407113961924,-31.5880353605005,running
1420650562630,99.68902686784058,70.8261746706429,-31.169684159647808,running
1420650562680,99.68902686784058,70.8261746706429,-31.169684159647808,running
1420650562730,100.93642314038286,70.21273167938571,-29.86084938057946,running
1420650562780,102.21381068925386,69.02508839000214,-28.632545233364496,running
1420650562831,103.85393601786288,67.47441586125925,-27.241652804436505,running
1420650562880,105.60273174667728,66.4707978310951,-26.08512644942619,running
1420650562930,106.83033611151323,65.78005205533509,-25.003455948172284,running
1420650562980,107.40959743777748,66.25421458629481,-23.28567175845112,running
1420650563030,107.20586389599232,67.48196179866231,-20.633169985793273,running
1420650563080,106.67984644744318,68.83939077999672,-17.54722727444445,running
1420650563130,104.66834791467646,69.62854935105175,-13.238838004076708,running
1420650563180,101.23006631683376,70.837282433661,-7.034768276014016,running
1420650563231,98.4620788635138,72.49764603389201,-1.6591347713784719,running
1420650563281,98.4620788635138,72.49764603389201,-1.6591347713784719,running
1420650563332,95.67842394823023,73.29114176539544,3.956179362502363,running
1420650563379,91.11811993347665,74.1593818837367,10.84856978571334,running
1420650563430,88.05106305248064,75.04118879603786,17.41319560090361,running
1420650563479,87.18337518392015,75.90996925483184,21.949614343391637,running
1420650563529,87.74672336587668,75.92342822365788,25.50492573839213,running
1420650563579,90.43089368513309,73.19613226393479,25.895909836818305,running
1420650563625,97.08782472976206,67.71320537742687,20.008141861899958,running
1420650563678,108.37780217857959,60.997460464726714,9.418061027182585,running
1420650563729,120.17825353571682,57.3365749436101,1.0754953626870865,running
1420650563779,120.17825353571682,57.3365749436101,1.0754953626870865,running
1420650563830,129.41575252887702,54.268858802860386,-4.592192276328067,running
1420650563881,135.0776104187821,52.18554049521124,-8.634408672448364,running
1420650563930,137.74786491444422,51.82299807113703,-10.333921312882543,running
1420650563977,138.1187363447101,53.79091277974808,-7.803606195560687,running
1420650564030,139.4910636004605,56.090332967505546,-6.152231423356916,running
1420650564080,142.08685193551895,57.50701990334045,-7.759963182193108,running
1420650564130,146.101350125883,59.524929322661734,-7.064488345023332,running
1420650564179,144.52599231865992,63.01089887631837,0.7823705643314287,running
1420650564230,142.93586152508132,68.12506041277355,7.318344783168472,running
1420650564280,142.17313307243109,73.56782553144627,16.347320962134546,running
1420650564330,145.63664273223537,77.95965278040704,21.54907488245715,running
1420650564375,145.63664273223537,77.95965278040704,21.54907488245715,running
1420650564425,147.78177516660938,81.30375022613818,24.58268333529,running
1420650564479,139.8322473349019,84.56154534444711,36.8689957406932,running
1420650564530,120.83255240943568,88.08893862458825,58.68322093832306,running
1420650564577,343.46226176399324,88.2732278752989,-161.21230848084002,running
1420650564628,334.5540690957951,87.30626012852063,-149.97953905195692,running
1420650564681,271.5878359981151,88.93756454736042,-87.10667383513555,running
1420650564726,174.84235007006623,83.69276373723656,6.202230012728536,running
1420650564781,172.02066847844011,78.55383815017512,8.39870397115607,running
1420650564830,172.49075951193882,71.46707569120329,2.735125714616531,running
1420650564880,172.49075951193882,71.46707569120329,2.735125714616531,running
1420650564930,171.16781634137016,65.48621465536024,-2.3184726064030405,running
1420650564980,168.89475221445025,60.25054078361546,-5.686558568610413,running
1420650565030,167.24783649544068,57.71531229802867,-9.29372094759796,running
1420650565080,166.47618007181887,58.99408453044601,-11.129861627023176,running
1420650565130,167.0595705227784,61.58231337578625,-12.95244262094674,running
1420650565180,165.86321988718367,61.183182818499624,-16.114186782516466,running
1420650565227,161.28505396652275,59.293138642828374,-15.636697032611794,running
1420650565278,157.43055421918075,59.7439634085247,-12.301277246717218,running
1420650565330,154.43858337733903,59.02241976924064,-12.621956126889579,running
1420650565378,158.14134782004777,63.30442113583997,-15.910706293247099,running
1420650565430,161.4749611041277,67.77829116747287,-21.085063320016786,running
1420650565480,161.4749611041277,67.77829116747287,-21.085063320016786,running
1420650565530,166.18340517006484,72.5720277348135,-26.34360500172134,running
1420650565580,175.07904474319363,75.33429577389272,-38.37713578644237,running
1420650565630,184.95330418929484,76.60807112093654,-48.84831578397081,running
1420650565680,194.1595456122654,77.01356726622156,-58.37443671208242,running
1420650565730,193.91337618555005,76.64861307053151,-57.560714311077554,running
1420650565780,177.5301918301162,75.19458898983912,-44.74926271412722,running
1420650565830,156.29125663090628,71.53080081481846,-30.113466923353677,running
1420650565881,144.78650430001017,67.22687077451545,-24.884121075723556,running
1420650565931,133.95495180775563,64.10404742162441,-23.305159375162344,running
1420650565981,133.95495180775563,64.10404742162441,-23.305159375162344,running
1420650566031,124.03620562427164,61.364014184666765,-22.990640520290597,running
1420650566080,117.7682781471912,60.03999622843671,-23.852996736138977,running
1420650566130,116.17255783836475,60.46087008931742,-28.006513504185904,running
1420650566180,118.3824118791426,62.227618076066754,-33.07460683614465,running
1420650566228,118.51571914665625,61.843269812826684,-35.87274895958411,running
1420650566280,114.32158168802779,61.42794162586204,-33.657550479928744,running
1420650566330,108.024452986111,62.576370908582064,-26.493745300408456,running
1420650566379,104.56918942690483,64.68490359418915,-25.825681773277925,running
1420650566428,113.00580253894537,67.30679300947875,-32.48788712479875,running
1420650566480,118.77972394595429,70.03824901712856,-38.02343606191428,running
1420650566530,128.3439286487589,72.28142352223475,-47.27254621734116,running
1420650566579,128.3439286487589,72.28142352223475,-47.27254621734116,running
1420650566630,139.57620375848086,74.32190599984594,-60.52839737671959,running
1420650566680,152.0894732004345,74.49228558831994,-73.79382352883916,running
1420650566730,161.59982232983833,74.23484887798212,-81.72341046227271,running
1420650566780,173.27608886646163,73.39049899985294,-92.32411638776227,running
