timeStamp,x,y,z,gx,gy,gz
1420650724317,0.6436319580420852,-0.5780671605892479,0.14044119300516322,-0.04967968444824218,-8.96508826258555,-4.894197234034817,standing
1420650724370,0.6436319580420852,-0.5780671605892479,0.14044119300516322,-0.04967968444824218,-8.96508826258555,-4.894197234034817,standing
1420650724418,0.6436319580420852,-0.5780671605892479,0.14044119300516322,-0.04967968444824218,-8.96508826258555,-4.894197234034817,standing
1420650724467,0.6436319580420852,-0.5780671605892479,0.14044119300516322,-0.04967968444824218,-8.96508826258555,-4.894197234034817,standing
1420650724520,0.6436319580420852,-0.5780671605892479,0.14044119300516322,-0.04967968444824218,-8.96508826258555,-4.894197234034817,standing
1420650724570,0.08958033594833686,-0.5703450784372166,0.6277608735628426,0.7870938140426762,-8.329577395950444,-5.328594923754781,standing
1420650724616,-0.07282085582858416,-0.36228071241099385,-0.81166943410635,0.5687725090579828,-8.147318502310105,-6.740575498962402,standing
1420650724670,-0.15548223813474177,0.04731158534372225,0.3846785683104768,0.4809352584838867,-7.759158868684526,-5.516539863674901,standing
1420650724717,0.14717810917790047,-0.10326976553956047,0.49609209374655033,0.806097798853321,-7.946355255259666,-5.353883642257563,standing
1420650724770,-0.06936541357850655,-0.37995870018173006,0.15029495342364535,0.6094739783798344,-8.246229250656254,-5.666177741429302,standing
1420650724820,-0.3725760791171342,-0.2170599752454087,0.12263794402009807,0.28311434631347654,-8.131457135507278,-5.630863038613135,standing
1420650724869,-0.2675010725202039,0.15133276290562933,0.18480532672014086,0.4312555375030264,-7.765742676654783,-5.5599348418304695,standing
1420650724915,-0.2675010725202039,0.15133276290562933,0.18480532672014086,0.4312555375030264,-7.765742676654783,-5.5599348418304695,standing
1420650724965,0.9292920433156192,-0.4545527533950284,0.0017045009358887908,1.5614683952331543,-8.281244157675095,-5.873126274861478,standing
1420650725015,0.4217178207637742,-0.05304468563562259,-0.8476462449599057,0.9687538467407226,-7.873780980903562,-6.738929558386281,standing
1420650725065,-0.13969465808733367,-0.31012543162945655,0.05726224853172898,0.3603273589866701,-8.169464721536077,-5.786635628863424,standing
1420650725115,-0.05690868585370481,0.07222989963153377,0.43984987244494256,0.47973815765380856,-7.827243832264747,-5.346401871667429,standing
1420650725170,0.017593060850084292,0.1424110226402525,0.38256983252819626,0.5737105842313845,-7.759308442356204,-5.398774850320257,standing
1420650725217,-0.12148437180449254,-0.24978635120196266,-0.40669425649195906,0.42182839586562476,-8.192659079841803,-6.132598207147419,standing
1420650725270,-0.12054095347453839,0.10726280809794551,0.353392582154274,0.5424363410286139,-7.929745417310251,-5.226691861724853,standing
1420650725320,-0.13598587583042682,0.12855873063751497,0.1755177122844383,0.6124667121887206,-7.972092822641646,-5.3007626582490275,standing
1420650725370,-0.07343690536769572,-0.29720811892189086,-0.009669258138962323,0.7264905799533938,-8.443600848156585,-5.410297298577852,standing
1420650725420,-0.11373213197621516,-0.2510284419512376,0.15677063397746532,0.7182604706474114,-8.43746618132647,-5.178059530905075,standing
1420650725467,-0.11373213197621516,-0.2510284419512376,0.15677063397746532,0.7182604706474114,-8.43746618132647,-5.178059530905075,standing
1420650725516,0.1855145344354212,-0.07234498194514308,-0.07601226771445944,1.055992569732666,-8.305335798180685,-5.332485519718844,standing
1420650725569,0.004815216549535398,-0.1787597081466578,-0.23468601363319902,0.922216550258969,-8.435670329151954,-5.445461928823776,standing
1420650725620,-0.11342944096890277,-0.23621260214596984,1.7632408215083182,0.8791209494880866,-8.508992407934366,-3.4084451923094687,standing
1420650725670,0.060606809719279404,-0.208667501284834,-0.02180882223146036,1.0582371337890624,-8.515576955690142,-5.137507575889397,standing
1420650725720,-0.013171447298838757,0.014763370974158169,0.02459831595267169,1.0663175872249762,-8.32882892366221,-5.014206583116995,standing
1420650725770,-0.03233731042359723,-0.14710586592559702,0.2511951950865798,1.0612298607480828,-8.508992526665375,-4.754136473448295,standing
1420650725820,-0.05110435608965344,-0.2490068181968294,0.16847765757981686,1.0941501860908698,-8.655338185340817,-4.750096349478326,standing
1420650725870,0.3560734552687034,-0.07993770666304044,0.1214619681764394,1.5824176232269034,-8.53772336671236,-4.688146052728221,standing
1420650725920,0.377199976058118,-0.21450868332739917,0.5456879358362406,1.6774375016143543,-8.689006993246636,-4.2148424581665545,standing
1420650725985,0.33999939556326714,-0.33818208047561343,0.04612113801671657,1.846827269070409,-8.88907214067988,-4.512621193750365,lying
1420650726020,0.6890084654036909,-0.434808444211632,-0.5939215131293982,2.422333602728322,-9.092280225781352,-4.861725673089548,lying
1420650726070,-0.0767775164659135,-0.4195905994767323,0.09870240282509475,2.124105803636182,-9.210792806100287,-3.6484640183379873,lying
1420650726117,-0.0767775164659135,-0.4195905994767323,0.09870240282509475,2.124105803636182,-9.210792806100287,-3.6484640183379873,lying
1420650726170,0.2544702712344937,-0.08074040134805255,-1.291271544290334,2.7980736805680206,-9.045443317877826,-4.346523622540384,lying
1420650726220,-0.2462436736264266,0.41072150271404534,0.6492625112749636,2.6382605005568824,-8.591742112411373,-1.9595042751036584,lying
1420650726265,0.9177147105075418,-0.8598003547426313,-0.9263399155117571,3.9787143924988806,-9.935637833636626,-3.0310593017578125,lying
1420650726320,-0.8877351673074066,-0.5219080144612118,0.7890203799247741,2.289904104205221,-9.575460011789016,-1.2373533454895018,lying
1420650726367,-0.6046534446218982,-1.2152718620628118,0.003310856993237394,2.924816566555761,-10.24044941329956,-1.4998177236045507,lying
1420650726420,-0.33224074426051226,0.39837629080601034,3.9736265678405758,3.7460278090545907,-8.445995195947214,2.8268041187562045,lying
1420650726467,-0.10207735001775435,-0.19293021751940248,0.5790717710545287,4.345326421245606,-8.91226604232788,-0.024390929412841794,lying
1420650726520,0.11371055946522392,2.8495857132762668,1.7750939025178551,4.658817164589697,-5.837811835479736,1.5713444040160625,lying
1420650726569,0.4317872332269326,0.7059155418671668,0.945032560217753,5.25946253348086,-7.830086745806783,0.9695020256263669,lying
1420650726620,0.4317872332269326,0.7059155418671668,0.945032560217753,5.25946253348086,-7.830086745806783,0.9695020256263669,lying
1420650726670,-0.3328055020038038,0.1591933310797438,0.28008855048520487,4.734982914965972,-8.231414981753565,0.572663109588623,lying
1420650726720,1.1489116764485836,-0.2182963303736411,-0.6516046174217015,6.277447115325927,-8.557625122346636,-0.08230068206787108,lying
1420650726770,0.3485140528650954,-0.7822765316877514,-0.9350391356002539,5.446359754446335,-9.120711005169525,-0.127042325592041,lying
1420650726820,1.6664689848870038,-1.358982267730683,-0.5220087348893284,6.648698010253906,-9.752929954119772,0.42108021697998044,lying
1420650726867,0.2922548256297596,-1.363088095614314,-0.41596846345681693,5.306598068137932,-9.704297879028319,0.7885902083465829,lying
1420650726920,1.4047352802544832,-1.397871385834366,0.29710683223819356,6.414664797973632,-9.67945818293467,1.873911766682472,lying
1420650726970,-0.1391294528194703,-1.1064296484194696,-0.48522904668767003,4.850203851594682,-9.283965703936666,1.6135422448089345,lying
1420650727018,0.6041319049658254,0.25545540981432424,-0.3139560593008995,5.225793926504441,-8.00710812238613,2.243516593170166,lying
1420650727067,0.21909895199341697,0.5446760553799569,-0.48258945543169973,4.658218586775194,-7.657704518536478,2.5481787544250487,lying
1420650727120,1.8389044036492703,0.45810354121178387,0.9337946884971111,6.3150061538696285,-7.777114887945354,3.817554474053904,lying
1420650727166,0.2131558439463377,-1.8711634360887108,-1.1093997502714394,4.938340199279785,-9.649979574993997,2.542043612670898,lying
1420650727220,1.5289436975948512,2.9617993030488488,2.200026849403232,6.26113647038564,-4.904222825622559,5.650016788891703,lying
1420650727266,1.5289436975948512,2.9617993030488488,2.200026849403232,6.26113647038564,-4.904222825622559,5.650016788891703,lying
1420650727320,1.3945887109018862,5.045839035490155,0.17912222131611777,5.670816123553365,-3.296965323638916,3.0569464793440884,lying
1420650727370,-2.9723592755079267,5.8370998878180975,0.13613096512323244,0.7827543052673339,-2.9529484725952146,2.3280618940933606,lying
1420650727416,-0.7527295346859842,-2.348349278911203,0.8471386607639491,2.7418097406249493,-11.365424772235006,2.4753052413940426,lying
1420650727470,-0.17727973525458945,0.5648549565883353,-0.4886841190449893,3.1869815935439427,-8.560468145486526,0.7685387329101562,lying
1420650727520,2.7628733522459865,0.7852840429406612,0.404160792491585,5.464316376495361,-8.553734416784717,1.6907552848815917,lying
1420650727570,0.9694767541877924,3.0399776444897055,-0.4167519419847056,2.6517279762268067,-6.509684968622029,1.0476129004547372,lying
1420650727620,-2.0838119150348007,4.657225502350926,0.18374186220709232,-1.3998598562378435,-5.0391959442138665,1.4806641257354989,lying
1420650727670,-4.438589765688777,15.156604668778181,-3.56176952175796,-4.308665235723927,5.362562221416831,-3.0819359774382784,lying
1420650727720,1.065372173300758,2.6867832152560354,3.6355747626811263,1.221940654035937,-7.114669800622761,3.9137714715377427,lying
1420650727770,1.065372173300758,2.6867832152560354,3.6355747626811263,1.221940654035937,-7.114669800622761,3.9137714715377427,lying
1420650727820,-1.250722091758996,-0.8086667451590299,0.5632246154401451,-1.2545616536534434,-10.615291610717772,0.5850830375505495,lying
1420650727870,-5.579853557732701,-0.028059199279558376,1.5098931062966585,-5.659892596745212,-9.823858134919416,1.0556932945251465,lying
1420650727920,3.3619410691574214,13.527562035965918,4.131763119876385,3.1714193010192364,3.7802953683048486,3.071162325695902,lying
1420650727970,1.4823957353010773,-12.594086423355341,2.151058089703321,0.6139630151610821,-22.353314162445066,1.7342997910430653,lying
1420650728020,-2.7201947787314653,-0.13439575709477067,-5.897589135572314,-3.679439038848877,-9.87787764552012,-6.458657961218059,lying
1420650728070,0.016301957027043682,0.31195272012185304,0.4112256163112819,-0.9920973060773801,-9.42342827943433,-0.2018611274719238,lying
1420650728117,-0.23862033914113415,-1.1459058456961064,2.1416985790751872,-1.2855366721664554,-10.868627854687347,1.4047978240966796,lying
1420650728170,-0.0912768468010705,-0.2797038437502459,1.6339704446032641,-1.210119329004688,-9.988908784042485,0.8277951509337872,lying
1420650728220,0.6766638014849274,-0.16018749321624637,1.4290214341185987,-0.5410895751953124,-9.847351282092184,0.5090671279907226,lying
1420650728266,1.105673277094215,0.09447850151974707,1.7223988157711922,-0.18480244064331053,-9.58024841510933,0.7712322828430682,lying
1420650728320,0.8400961218412965,0.017736546132626242,0.8053882349450141,-0.47480004366450007,-9.663446999289928,-0.04085106582641601,lying
1420650728365,0.8400961218412965,0.017736546132626242,0.8053882349450141,-0.47480004366450007,-9.663446999289928,-0.04085106582641601,lying
1420650728419,-0.7696896565109491,-0.27429789305347946,0.07528445119683165,-2.128445275878906,-9.955090393331833,-0.7034463707080809,lying
1420650728470,-0.06416714624909219,-0.3421227078601718,0.28654461302310225,-1.5439607362277572,-9.999533163507282,-0.5590460876464843,lying
1420650728518,1.2257918678376822,-0.21500938112484289,0.3799525261692703,-0.4191348550658673,-9.83747536464082,-0.5542576843261718,lying
1420650728570,1.5302191243581473,0.150335723825451,0.4161463407743722,-0.24690204620361328,-9.44796846285844,-0.5244798011779784,lying
1420650728620,0.9794015705484896,-0.01171871061521233,0.49008156475275755,-0.9249101019043475,-9.592668442394311,-0.3755903854370117,lying
1420650728670,0.7446788416340947,-0.4600825496671721,0.558696981947869,-1.3344681503295899,-10.008511237069778,-0.2629132698059082,lying
1420650728720,1.5758398888044058,-0.616114128780365,0.7388465552840382,-0.7291840431213379,-10.10712230834961,-0.14320318679809568,lying
1420650728770,3.1191616558417676,-0.998218426156044,0.8806725354447961,0.5602431884765625,-10.408941355133056,-0.14918869094848633,lying
1420650728820,4.18631333297044,-1.446989198616147,0.7504733532570302,1.3956699302673339,-10.779444062042236,-0.3844190040588379,lying
1420650728870,2.0073925460904833,-2.614372643561661,1.3786940994165837,-0.7516296836853027,-11.933448969976602,0.06988076095581054,lying
1420650728920,2.0073925460904833,-2.614372643561661,1.3786940994165837,-0.7516296836853027,-11.933448969976602,0.06988076095581054,lying
1420650728970,1.3322343999281525,-1.1384230156600474,0.2811784280811436,-1.2152069801330565,-10.407444979095459,-1.6594810074294917,lying
1420650729020,-1.0613540237005799,-0.6403804089002311,-0.31517763698510826,-3.084330361761525,-9.85483316228017,-2.9932009149413554,lying
1420650729070,-1.1844442506659776,-2.49454799426347,2.474033321762085,-2.655019930444285,-11.720963572637736,-0.5060743759155273,lying
1420650729120,0.24625308077558875,-0.24447801566077396,2.0287486378520727,-0.8333318153381347,-9.46203458027495,-1.1400889030456542,lying
1420650729170,-2.362817949246615,0.19229290599655358,1.6565500868104397,-3.080589348602295,-8.97705930741895,-1.7461210521422326,lying
1420650729221,-0.8426603463061153,0.8320940171714871,2.988006926494837,-1.5729904907226562,-8.152106796032562,-0.8747814315795898,lying
1420650729270,-1.6786023441426454,2.172364789365232,0.7631794708993286,-2.4907179145812988,-6.72561144632548,-3.278709609045461,lying
1420650729320,-1.081422925195843,1.3574603188604115,0.9236548411462455,-1.9488801513671874,-7.542184142303467,-3.1030349161010236,lying
1420650729370,-1.081422925195843,1.3574603188604115,0.9236548411462455,-1.9488801513671874,-7.542184142303467,-3.1030349161010236,lying
1420650729420,0.5179032357992605,1.0145761251084506,-0.6420819521211087,-0.5602432250091806,-7.944410167340188,-4.481945653942972,lying
1420650729466,1.6137310819119215,0.4117196103733033,-1.971870858593285,0.3269581642150879,-8.574833318914845,-5.680841989135742,lying
1420650729520,0.38990079647079107,0.7156612753339111,-3.699173666888475,-0.8155249404907227,-8.379406389208883,-7.16285281677246,lying
1420650729570,-0.2123435229164548,-7.272483988836408,-0.17847778593273833,-1.4074913192306644,-16.428263603973388,-3.4820669116255827,lying
1420650729620,-2.619975578135252,2.2377741039954127,4.491181245930493,-3.664325786999613,-7.025934555462747,1.4475941787719726,lying
1420650729670,2.1212394361533224,2.124623525633663,7.6783070154517885,0.6810007347106933,-7.268347473553567,5.25587134058848,lying
1420650729720,0.032828002850257325,-4.963771577656269,-4.150129382172227,-1.3397055281099746,-14.449904844665527,-6.223727215576171,lying
1420650729770,3.148762136596441,0.513965384893678,0.2977471942346543,1.8104652217589319,-9.004742117984033,-1.6448164674621075,lying
1420650729820,1.6793854573443532,0.46709378013610836,1.1472780108321456,0.2685994987487793,-9.090634066009521,-0.5349543603759259,lying
1420650729870,-0.6548127658132463,0.6549979861870407,-0.01616821567873703,-2.2569839044433087,-8.904334957067668,-1.5070003554136608,lying
1420650729920,1.0907856506943703,0.5519042165352032,1.2297469621390102,-0.8116343627929687,-8.982146985946782,-0.05596446380615234,lying
1420650729968,1.0907856506943703,0.5519042165352032,1.2297469621390102,-0.8116343627929687,-8.982146985946782,-0.05596446380615234,lying
1420650730020,1.285439477135986,0.08735761839756742,0.5251444025665521,-0.9261071296691894,-9.420734382441546,-0.41060558471679687,lying
1420650730070,1.7302251254826784,-0.7128270017560571,0.6433762297153472,-0.8674491889953613,-10.150517432635649,0.04967968444824218,lying
1420650730120,4.421116652840376,-0.9472657991625368,-0.053904129176284184,1.4826093780517577,-10.291775257519632,-0.5183446548572508,lying
1420650730170,7.32078186353743,-1.7414561290711164,0.40313791571725155,4.149301406915486,-11.015422563171386,0.07811082916259765,lying
1420650730220,0.23835891172597184,-2.8388553526863456,0.1359482381006237,-2.7195138655289073,-12.180052325494586,-0.2683002326744143,lying
1420650730270,-2.1810518075592813,-1.405982211575657,2.639408300618827,-4.20107572555542,-10.948983613232523,1.6289550275940448,lying
1420650730320,-7.76801125177443,-7.42365537803471,-2.319958758468181,-8.895806125110015,-17.087117973327636,-3.5511996124267577,lying
1420650730370,-3.2623645503789183,0.23726596539011224,3.6360000023558734,-3.5734954692564904,-9.37704067706773,1.7284638148985803,lying
1420650730420,-5.38652995698154,1.5916922685831785,1.4050231572851537,-5.423315858011565,-7.847145578765868,-1.2553098579406738,lying
