timeStamp,alpha,beta,gamma
1420616338222,338.29866581100686,-1.0888566547514564,0.6148162041057235
1420616338273,346.6704550250038,43.32771713067697,32.77564789842595
1420616338323,347.6259112303147,43.42177243443955,30.653452774021446
1420616338368,348.32044154115823,43.09216800482922,29.969773080525727
1420616338420,348.54254053060373,42.99058885303928,30.48167873475377
1420616338473,349.0722535347767,43.038446703587674,29.612530409782636
1420616338523,349.0857358667322,43.132620523895184,29.16528041351255
1420616338574,349.88865866390483,43.211007103496485,27.780845489964598
1420616338620,350.41914281350034,43.35300063831445,26.680595313276463
1420616338673,351.225099350797,43.36499418921434,26.037146896128263
1420616338723,351.225099350797,43.36499418921434,26.037146896128263
1420616338773,352.58234028177696,42.19588727025212,26.67594461079123
1420616338823,353.44110159549456,42.00736268918629,27.146748321860958
1420616338873,354.5144398302703,41.79043244462271,27.468824267791717
1420616338923,354.73755193966224,42.303742629252675,27.558571293342478
1420616338973,354.90648018500144,42.35035982116236,27.376037459319424
1420616339020,354.5073292289909,42.77352344883397,27.02545766637277
1420616339074,353.909989735854,43.22060746501176,26.40323012693
1420616339125,351.33020657495746,44.453158107535764,22.194370949437253
1420616339173,347.26405780157216,45.18837328729933,18.02720971968868
1420616339224,346.7706755703513,43.27791106014091,7.6834944689061775
1420616339274,346.7706755703513,43.27791106014091,7.6834944689061775
1420616339324,351.1625105973858,43.929319821226024,-3.9069104405112207
1420616339374,354.5640472294827,45.94632529207351,-16.097488684123526
1420616339425,359.65871874511043,52.17518905189836,-31.766250891959963
1420616339474,0.3833134659174577,51.24026989171081,-39.761668958312214
1420616339524,1.2697756976744756,45.93065751360466,-43.41021945390381
1420616339573,11.861155955248769,52.07016060932823,-56.36346921617342
1420616339619,23.68173663749621,58.78454220753614,-71.52167521626292
1420616339673,28.000224726783955,56.30417382752102,-75.79925012403271
1420616339724,18.862103577433764,56.54129364202749,-67.80883899389075
1420616339773,0.4860859880435984,53.938478274278914,-50.96536023536876
1420616339823,322.2814720650148,52.087796581596265,-22.853353861076236
1420616339874,322.2814720650148,52.087796581596265,-22.853353861076236
1420616339923,298.190844486318,48.28853647986957,-11.26048560221124
1420616339973,274.70769468754105,47.037919342020665,0.7735081467450574
1420616340022,270.522612514819,49.19522875181555,-0.3618112316493371
1420616340073,256.0909839742971,57.22037484223885,11.628849174504824
1420616340120,245.75305044754674,60.951476584108036,22.578716532364812
1420616340173,238.68268617046115,58.615641098739665,30.347688134743553
1420616340223,233.9898088244863,55.39345914502418,36.09525137123532
1420616340272,231.35681171812166,51.833600796435995,41.07850312986976
1420616340322,232.45045054084198,46.773124466092426,40.89224234530934
1420616340372,234.97792414073265,45.53482273750246,38.63944370237981
1420616340423,234.97792414073265,45.53482273750246,38.63944370237981
1420616340473,236.69024335765093,43.88631783360045,38.33087506545344
1420616340523,235.8789813740082,43.70211422393244,40.176060464391334
1420616340573,230.0346773308792,45.448817244162534,45.845666540367255
1420616340623,226.52821961029775,47.86428113701257,50.69964161513646
1420616340674,223.81985894078022,52.71437779706815,55.05308102540823
1420616340725,221.954969132107,59.155159209999624,57.35838825489896
1420616340774,219.0369579340543,62.074519785634024,61.32310529804191
