timeStamp,alpha,beta,gamma
1420650454024,72.48992927968747,52.24173774823134,17.91685691594804,standing
1420650454079,72.48992927968747,52.24173774823134,17.91685691594804,standing
1420650454128,72.48992927968747,52.24173774823134,17.91685691594804,standing
1420650454178,72.48992927968747,52.24173774823134,17.91685691594804,standing
1420650454229,72.48992927968747,52.24173774823134,17.91685691594804,standing
1420650454278,341.67843606505966,70.25102044192933,25.835029900842578,standing
1420650454325,342.44811133835,70.2131164642515,24.265073667402408,standing
1420650454378,342.7982929527932,69.98559403809783,23.41578879996285,standing
1420650454428,343.0980714613183,69.58666529883598,23.765433777033444,standing
1420650454478,344.1850610863581,69.39395850965607,22.56947054020345,standing
1420650454527,345.1852405117906,68.90120782750348,20.53266528283737,standing
1420650454575,345.92703580919135,68.45897381710452,19.348195211041062,standing
1420650454628,345.89527273670933,68.31952798027054,19.661800997280892,standing
1420650454679,345.89527273670933,68.31952798027054,19.661800997280892,standing
1420650454729,347.0976056636791,68.57556067412573,17.943230906600242,standing
1420650454781,348.58085403488695,69.07097200965156,15.930520926818666,standing
1420650454833,348.07168378353185,69.61171822638157,17.266570248950845,standing
1420650454882,347.9127310625127,69.96065778352187,18.22346863770399,standing
1420650454925,347.63625878061106,70.3202682116464,18.95775925906819,standing
1420650454980,347.9065227724478,69.86361595275446,18.954013626795522,standing
1420650455029,347.3965897286419,69.88944481471277,19.39999118282038,standing
1420650455075,348.76990015664364,69.08036072784911,16.497510623177114,standing
1420650455130,349.2997402382742,68.03161916443631,12.865809679098792,standing
1420650455179,345.817106265249,66.54655875530165,12.319009613750922,standing
1420650455229,342.54314488683934,65.38079560195932,11.786136700227686,standing
1420650455279,342.54314488683934,65.38079560195932,11.786136700227686,standing
1420650455329,341.78773505753907,64.00480149496022,4.435328809735701,standing
1420650455376,339.59498138978313,65.03548592718091,0.6547257612793314,walking
1420650455424,335.4891825214646,64.92439838818491,-0.14179879825320463,walking
1420650455478,326.92257914686866,61.974410016140354,4.591995241432561,walking
1420650455528,323.68582678522733,61.46730703127722,2.173364679146798,walking
1420650455574,321.73784027540665,60.02860964778178,-0.15252212314329772,walking
1420650455627,319.1479730868874,58.873735508199104,0.5783034544229888,walking
1420650455678,316.7949794052852,58.32854510525507,-0.44756056363351354,walking
1420650455728,312.57839683823755,57.00796301064672,-1.8206828870830862,walking
1420650455778,304.24466870425914,55.94230236154689,2.2793474483666616,walking
1420650455828,304.24466870425914,55.94230236154689,2.2793474483666616,walking
1420650455878,296.3276360108367,58.12425251715752,9.311211493854024,walking
1420650455928,292.0326676082848,59.70888397865269,9.225287512317337,walking
1420650455978,285.14925141755435,61.263817734030724,11.540583050678249,walking
1420650456030,275.15859154380826,61.69287887093004,18.799980985668267,walking
1420650456080,263.7784297726811,63.36356713564243,26.031672192799537,walking
1420650456129,249.10264831095287,64.7932116107391,36.78924809660979,walking
1420650456181,236.42779173424398,64.58854150068437,47.392657758529964,walking
1420650456225,227.70098642663203,62.34021056876997,55.417778743735894,walking
1420650456279,221.21535004463956,62.14167707268441,61.14174400068062,walking
1420650456329,214.16227994577017,62.29039256314801,67.63123143647651,walking
1420650456379,214.16227994577017,62.29039256314801,67.63123143647651,walking
1420650456425,206.0218163880388,61.809641027727096,77.31166571363654,walking
1420650456479,199.47397418618536,61.65997367213416,84.66370600503613,walking
1420650456529,186.5657854691435,60.228650738844486,103.79232008871354,walking
1420650456579,182.37015733440083,61.20065694087994,111.76904357212537,walking
1420650456629,189.82312903230707,66.83358213395954,104.96440554435915,walking
1420650456679,197.84681470461823,73.18240624897557,96.18438690749988,walking
1420650456729,200.27817215206576,76.78398833379606,92.18107653894877,walking
1420650456779,212.03535304255217,80.75359245723287,78.73312187769858,walking
1420650456827,233.60483341416395,81.53964573620915,54.687445575215214,walking
1420650456879,244.51089867079583,80.81554710038758,35.50704140900782,walking
1420650456928,232.44415428399634,85.02945584316684,46.43778030996484,walking
