timeStamp,x,y,z,gx,gy,gz
1420650454023,1.7427727646276354,-0.7127469953224063,0.6109118474295362,3.5901053894042967,-8.465896778051555,-5.102791962344385,standing
1420650454078,1.7427727646276354,-0.7127469953224063,0.6109118474295362,3.5901053894042967,-8.465896778051555,-5.102791962344385,standing
1420650454128,1.7427727646276354,-0.7127469953224063,0.6109118474295362,3.5901053894042967,-8.465896778051555,-5.102791962344385,standing
1420650454178,1.7427727646276354,-0.7127469953224063,0.6109118474295362,3.5901053894042967,-8.465896778051555,-5.102791962344385,standing
1420650454228,1.7427727646276354,-0.7127469953224063,0.6109118474295362,3.5901053894042967,-8.465896778051555,-5.102791962344385,standing
1420650454278,0.1846212023248896,-0.17503023929474873,0.11018012944990768,1.628655642788671,-9.404872869508248,-2.872293712837156,standing
1420650454324,-0.2839056610879488,-0.18350920422868802,-0.3686444387566298,1.0803834808791988,-9.411157539268302,-3.395127518640086,standing
1420650454378,-0.8862653870157897,-0.20215174444895237,0.004771447904345405,0.44756607284545896,-9.416544876596145,-3.0752023991481092,standing
1420650454428,-0.1554353850520216,-0.3017600648715161,0.2632118874263018,1.2229880807296372,-9.492560724507179,-2.8672061987061053,standing
1420650454478,-0.20131240754798055,0.037284607799781946,-0.19851755266506224,1.1233294914245604,-9.141960054076776,-3.3855506754668427,standing
1420650454526,-0.5956326278962194,0.018935171057865952,0.1296987583849579,0.6425438705444335,-9.1302878620425,-3.1762077043395487,standing
1420650454573,-0.692098175047338,-0.3072611282395199,0.13851682821330613,0.5008370597839356,-9.428964870773441,-3.258807689014403,standing
1420650454628,-0.2773090393018909,0.12971897005592473,-0.20450225309785455,0.9416694221938959,-8.983194147779,-3.616142295925878,standing
1420650454678,-0.2773090393018909,0.12971897005592473,-0.20450225309785455,0.9416694221938959,-8.983194147779,-3.616142295925878,standing
1420650454728,-0.08901488408530131,-0.09450085034887305,-0.319435878951475,1.0145429352249018,-9.223512285547656,-3.7273229989867653,standing
1420650454779,-0.5401067016378045,-0.24478140078783034,0.2576959552827291,0.4213794921875,-9.404424121093749,-3.110816016697604,standing
1420650454829,-0.2962497039522044,-0.04932305759687442,-0.12935642948700116,0.7178116035019048,-9.241618339704466,-3.3918355461562983,standing
1420650454877,-0.030947433817642738,0.0013901400403803564,-0.050193652719212695,1.0199299117931397,-9.211541102860705,-3.242048204328073,standing
1420650454924,-0.6422323203772307,-0.193028819055669,-0.10505589090450666,0.43065702362060543,-9.426869578994625,-3.228431365049025,standing
1420650454978,-0.23299641657844183,-0.26917313391827047,-0.1185303899702616,0.8635586112976074,-9.476400027697906,-3.31148004333945,standing
1420650455028,-0.17204176153587175,-0.235629724224098,-0.36959998591579496,0.9479542015518061,-9.444377543960698,-3.550002584661916,standing
1420650455074,-0.15413142631398513,-0.6809996387321502,0.3478819289740175,0.8402151268447748,-9.84121635953374,-3.009511559881642,standing
1420650455128,-1.4131909739106894,-0.06876445201067254,0.0480592619058676,-0.5963057779174298,-9.16335806930093,-3.5284548245194367,standing
1420650455178,-1.8345643286183475,-0.3918014424603432,-0.4997904733404517,-1.0018237571716309,-9.388263186822458,-4.313004653167725,standing
1420650455228,-1.8394279891319572,-0.23410052362913264,-0.6454243213515728,-1.004966146850586,-9.149292098014895,-4.6446015100341285,standing
1420650455278,-1.8394279891319572,-0.23410052362913264,-0.6454243213515728,-1.004966146850586,-9.149292098014895,-4.6446015100341285,standing
1420650455328,-0.6632459553766995,-1.148951350871846,-0.5397228168867528,-0.3308487419128418,-9.963470135674998,-4.82506438710317,standing
1420650455374,0.1385544933425728,-1.7893769871532916,-3.018023879095912,0.1858499038696289,-10.679785417938232,-7.15671767501831,walking
1420650455424,-1.3560549821071326,0.7705124441359191,-0.16445565378842875,-1.3663409507972653,-8.111854719012603,-4.3206362988236355,walking
1420650455477,-1.1848735819939524,0.20382228974336758,2.1645507546134293,-0.8159738533020019,-8.452878507453855,-2.428468525286764,walking
1420650455528,-0.1357434088440612,1.2173476454235612,-1.5660449093684554,0.04189852905273437,-7.398232621356099,-6.246921044158936,walking
1420650455574,0.24782281431034206,0.366192515559867,1.4348061549998818,0.2347814037240052,-8.129062751184032,-3.4642600185118613,walking
1420650455627,-0.4438142825638875,-0.1550550622312352,1.81039391008839,-0.39264908596535675,-8.549843875619583,-3.2586582432068885,walking
1420650455678,-0.06677068894414696,0.17491242160135878,0.1555448002432473,-0.10699088668823241,-8.171260537177975,-4.99325718159331,walking
1420650455728,-1.4364020458891986,0.1786784413376823,0.059078253011708146,-1.606060328088328,-8.046612468045018,-5.278167156319017,walking
1420650455778,-0.8883530800100415,0.8384007161002606,-1.2791139273762702,-0.6699275702987797,-7.286154275335743,-6.766762079620361,walking
1420650455828,-0.8883530800100415,0.8384007161002606,-1.2791139273762702,-0.6699275702987797,-7.286154275335743,-6.766762079620361,walking
1420650455878,-0.8898195723660289,0.9816021493326872,-0.6208185801442713,-0.05192424850463867,-7.34615895444341,-5.731270080798492,walking
1420650455928,0.5088538505662232,0.7885328886687755,0.9020737815223634,1.3018471527099609,-7.679252187347411,-3.980360406140238,walking
1420650455977,1.812022095812112,-0.6039725496856495,-1.976678551135957,2.7552772710938007,-9.2028623784272,-6.596175211334228,walking
1420650456028,1.941989807331562,-0.0038753427397707125,-1.110604596016556,3.4406174232482907,-8.637830639643619,-5.512798813983053,walking
1420650456078,1.5547886252082883,0.7277806060642004,-0.9698194301456212,3.4843116035461423,-8.03808316116333,-4.920383686828613,walking
